collection_id,dataset_id,development_stage,disease,organism,raw_data_location,cell_type
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,early adult stage,normal,Mus musculus,X,GABAergic neuron
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,early adult stage,normal,Mus musculus,X,glutamatergic neuron
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,42-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,60-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f20f44ef-a0d4-4d94-87de-037fd47141f0,42-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,ed33c203-233a-476a-a56b-28da945fdd32,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,ed11cc3e-2947-407c-883c-c53b043917c3,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,ecd9230d-c571-4dab-abd3-8b54c74833f0,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,e8681d74-ac9e-4be5-be14-1cf1bbd54dd7,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,e6b2ce27-681b-4409-a053-2681875936e5,29-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,e6b2ce27-681b-4409-a053-2681875936e5,42-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,e6b2ce27-681b-4409-a053-2681875936e5,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,e6b2ce27-681b-4409-a053-2681875936e5,60-year-old human stage,normal,Homo sapiens,X,neuron
