collection_id,dataset_id,development_stage,disease,organism,raw_data_location,cell_type
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,ependymal cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
