,Key,Count
0,label,32454
1,MERFISH,13
2,ontology_term_id,32454
3,EFO:0008992,13
4,filesize,2352
5,137545633,1
6,filetype,2352
7,H5AD,1188
8,url,2352
9,https://datasets.cellxgene.cziscience.com/56081fda-006d-46c8-82d0-e5bf73f36ce4.h5ad,1
10,71756474,1
11,RDS,1164
12,https://datasets.cellxgene.cziscience.com/56081fda-006d-46c8-82d0-e5bf73f36ce4.rds,1
13,GABAergic neuron,58
14,CL:0000617,58
15,astrocyte,187
16,CL:0000127,187
17,endothelial cell,422
18,CL:0000115,422
19,glutamatergic neuron,65
20,CL:0000679,65
21,leptomeningeal cell,12
22,CL:0000708,12
23,microglial cell,91
24,CL:0000129,91
25,oligodendrocyte,201
26,CL:0000128,201
27,pericyte,290
28,CL:0000669,290
29,smooth muscle cell,115
30,CL:0000192,115
31,early adult stage,26
32,MmusDv:0000061,26
33,normal,1008
34,PATO:0000461,1008
35,Mus musculus,285
36,NCBITaxon:10090,285
37,na,658
38,male,921
39,PATO:0000384,921
40,primary motor cortex,72
41,UBERON:0001384,72
42,tissue_type,3775
43,tissue,3754
44,family,5174
45,Zhang,47
46,given,5174
47,Meng,3
48,Eichhorn,2
49,Stephen W.,2
50,Zingg,1
51,Brian,11
52,Yao,13
53,Zizhen,9
54,Zeng,10
55,Hongkui,9
56,Dong,4
57,Hongwei,1
58,Zhuang,4
59,Xiaowei,4
60,10x 3' v3,577
61,EFO:0009922,577
62,340194162,1
63,https://datasets.cellxgene.cziscience.com/51e05270-1f00-4527-b73a-f770a5a14f62.h5ad,1
64,377110839,1
65,https://datasets.cellxgene.cziscience.com/51e05270-1f00-4527-b73a-f770a5a14f62.rds,1
66,central nervous system macrophage,113
67,CL:0000878,113
68,fibroblast,230
69,CL:0000057,230
70,leukocyte,280
71,CL:0000738,280
72,neuron,170
73,CL:0000540,170
74,oligodendrocyte precursor cell,190
75,CL:0002453,190
76,vascular associated smooth muscle cell,130
77,CL:0000359,130
78,29-year-old human stage,245
79,HsapDv:0000123,245
80,42-year-old human stage,219
81,HsapDv:0000136,219
82,50-year-old human stage,257
83,HsapDv:0000144,257
84,Homo sapiens,866
85,NCBITaxon:9606,866
86,European,507
87,HANCESTRO:0005,507
88,cerebral cortex,73
89,UBERON:0000956,73
90,392041333,1
91,https://datasets.cellxgene.cziscience.com/4e124ecc-7885-465c-bab9-4e94d9d40b6a.h5ad,1
92,436168339,1
93,https://datasets.cellxgene.cziscience.com/4e124ecc-7885-465c-bab9-4e94d9d40b6a.rds,1
94,ependymal cell,85
95,CL:0000065,85
96,cerebral nuclei,46
97,UBERON:8440012,46
98,139367546,1
99,https://datasets.cellxgene.cziscience.com/5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c.h5ad,1
100,138799079,1
101,https://datasets.cellxgene.cziscience.com/5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c.rds,1
102,thalamic complex,63
103,UBERON:0010225,63
104,351752315,1
105,https://datasets.cellxgene.cziscience.com/6606e9aa-e4c4-4522-9e38-8128aa415b15.h5ad,1
106,383326427,1
107,https://datasets.cellxgene.cziscience.com/6606e9aa-e4c4-4522-9e38-8128aa415b15.rds,1
108,230852769,1
109,https://datasets.cellxgene.cziscience.com/8f5b1977-8317-4473-a2ce-cd5d524d7fd2.h5ad,1
110,256344881,1
111,https://datasets.cellxgene.cziscience.com/8f5b1977-8317-4473-a2ce-cd5d524d7fd2.rds,1
112,Bergmann glial cell,38
113,CL:0000644,38
114,choroid plexus epithelial cell,37
115,CL:0000706,37
116,myelencephalon,26
117,UBERON:0005290,26
118,362891796,1
119,https://datasets.cellxgene.cziscience.com/1ad58833-956c-4546-be7c-4c63ebd691c0.h5ad,1
120,402157582,1
121,https://datasets.cellxgene.cziscience.com/1ad58833-956c-4546-be7c-4c63ebd691c0.rds,1
122,893139010,1
123,https://datasets.cellxgene.cziscience.com/4d002ac1-4671-4901-b468-21b56a4d8397.h5ad,1
124,892211512,1
125,https://datasets.cellxgene.cziscience.com/4d002ac1-4671-4901-b468-21b56a4d8397.rds,1
126,60-year-old human stage,149
127,HsapDv:0000154,149
128,female,692
129,PATO:0000383,692
130,cerebellum,44
131,UBERON:0002037,44
132,hippocampal formation,81
133,UBERON:0002421,81
134,hypothalamus,47
135,UBERON:0001898,47
136,midbrain,62
137,UBERON:0001891,62
138,pons,46
139,UBERON:0000988,46
140,spinal cord,21
141,UBERON:0002240,21
142,53818035,1
143,https://datasets.cellxgene.cziscience.com/2102f4b8-c1fe-4ee9-be3f-3c3925618b64.h5ad,1
144,48531401,1
145,https://datasets.cellxgene.cziscience.com/2102f4b8-c1fe-4ee9-be3f-3c3925618b64.rds,1
146,441770722,1
147,https://datasets.cellxgene.cziscience.com/b92375fd-dafe-44c6-8523-f78c73660e85.h5ad,1
148,492924948,1
149,https://datasets.cellxgene.cziscience.com/b92375fd-dafe-44c6-8523-f78c73660e85.rds,1
150,391936006,1
151,https://datasets.cellxgene.cziscience.com/b750310e-1abb-4c76-9ff1-689a857a9042.h5ad,1
152,459930290,1
153,https://datasets.cellxgene.cziscience.com/b750310e-1abb-4c76-9ff1-689a857a9042.rds,1
154,230591246,1
155,https://datasets.cellxgene.cziscience.com/f3b7bdf8-7977-4ae6-914a-17a82d1f69b8.h5ad,1
156,245679197,1
157,https://datasets.cellxgene.cziscience.com/f3b7bdf8-7977-4ae6-914a-17a82d1f69b8.rds,1
158,1419617056,1
159,https://datasets.cellxgene.cziscience.com/209fa352-40c5-49d4-b829-29847390ad1c.h5ad,1
160,1568427620,1
161,https://datasets.cellxgene.cziscience.com/209fa352-40c5-49d4-b829-29847390ad1c.rds,1
162,206670894,1
163,https://datasets.cellxgene.cziscience.com/6bc24359-f3f3-4dc3-a143-382bd3221f68.h5ad,1
164,218890186,1
165,https://datasets.cellxgene.cziscience.com/6bc24359-f3f3-4dc3-a143-382bd3221f68.rds,1
166,34596071,1
167,https://datasets.cellxgene.cziscience.com/98ec22fd-c595-4d77-b7b2-94f0cecd6024.h5ad,1
168,26978851,1
169,https://datasets.cellxgene.cziscience.com/98ec22fd-c595-4d77-b7b2-94f0cecd6024.rds,1
170,376814581,1
171,https://datasets.cellxgene.cziscience.com/ce9248fa-2ae2-41f6-ade7-f944b63129da.h5ad,1
172,413882488,1
173,https://datasets.cellxgene.cziscience.com/ce9248fa-2ae2-41f6-ade7-f944b63129da.rds,1
174,107360605,1
175,https://datasets.cellxgene.cziscience.com/45cb584c-1955-49d1-81af-1d4218fa2702.h5ad,1
176,116009192,1
177,https://datasets.cellxgene.cziscience.com/45cb584c-1955-49d1-81af-1d4218fa2702.rds,1
178,458280848,1
179,https://datasets.cellxgene.cziscience.com/1f69d55b-4696-4b06-8447-e9050bf182a5.h5ad,1
180,517570830,1
181,https://datasets.cellxgene.cziscience.com/1f69d55b-4696-4b06-8447-e9050bf182a5.rds,1
182,390958905,1
183,https://datasets.cellxgene.cziscience.com/b38bebb9-64ee-4753-9fb4-1775c0fe4d39.h5ad,1
184,463818103,1
185,https://datasets.cellxgene.cziscience.com/b38bebb9-64ee-4753-9fb4-1775c0fe4d39.rds,1
186,488149454,1
187,https://datasets.cellxgene.cziscience.com/d02e73f6-ecd2-4fa1-943d-001a8abc354e.h5ad,1
188,523962729,1
189,https://datasets.cellxgene.cziscience.com/d02e73f6-ecd2-4fa1-943d-001a8abc354e.rds,1
190,366082699,1
191,https://datasets.cellxgene.cziscience.com/c2ee7d72-0887-4abe-8090-5e70e930b2e6.h5ad,1
192,403392514,1
193,https://datasets.cellxgene.cziscience.com/c2ee7d72-0887-4abe-8090-5e70e930b2e6.rds,1
194,2518838673,1
195,https://datasets.cellxgene.cziscience.com/823a7b4a-c575-4fee-b4c2-e1b984613c1b.h5ad,1
196,2768324546,1
197,https://datasets.cellxgene.cziscience.com/823a7b4a-c575-4fee-b4c2-e1b984613c1b.rds,1
198,1259372542,1
199,https://datasets.cellxgene.cziscience.com/124525f6-54f4-46b9-ab3c-da64a9d2aeb5.h5ad,1
200,1438563295,1
201,https://datasets.cellxgene.cziscience.com/124525f6-54f4-46b9-ab3c-da64a9d2aeb5.rds,1
202,331350596,1
203,https://datasets.cellxgene.cziscience.com/3f97d428-0199-4f2c-9b7f-86bced96e5e3.h5ad,1
204,383579459,1
205,https://datasets.cellxgene.cziscience.com/3f97d428-0199-4f2c-9b7f-86bced96e5e3.rds,1
206,363861242,1
207,https://datasets.cellxgene.cziscience.com/8f513d63-f891-4022-a9e5-687bb1767050.h5ad,1
208,406140812,1
209,https://datasets.cellxgene.cziscience.com/8f513d63-f891-4022-a9e5-687bb1767050.rds,1
210,315403163,1
211,https://datasets.cellxgene.cziscience.com/eba1a173-66c7-41a9-adfa-067d083a8861.h5ad,1
212,350963884,1
213,https://datasets.cellxgene.cziscience.com/eba1a173-66c7-41a9-adfa-067d083a8861.rds,1
214,421268513,1
215,https://datasets.cellxgene.cziscience.com/00724105-4ab6-4e0f-abf9-33825f3b2206.h5ad,1
216,487186095,1
217,https://datasets.cellxgene.cziscience.com/00724105-4ab6-4e0f-abf9-33825f3b2206.rds,1
218,108008780,1
219,https://datasets.cellxgene.cziscience.com/326f7e19-8fde-4520-ad73-be47bc5c27bd.h5ad,1
220,121424751,1
221,https://datasets.cellxgene.cziscience.com/326f7e19-8fde-4520-ad73-be47bc5c27bd.rds,1
222,509050930,1
223,https://datasets.cellxgene.cziscience.com/6cbc9dda-2468-4c67-b3b2-a670f3864641.h5ad,1
224,622640472,1
225,https://datasets.cellxgene.cziscience.com/6cbc9dda-2468-4c67-b3b2-a670f3864641.rds,1
226,462255381,1
227,https://datasets.cellxgene.cziscience.com/bb02b9e0-45e7-473d-8beb-cc7ee0b4e61d.h5ad,1
228,522878025,1
229,https://datasets.cellxgene.cziscience.com/bb02b9e0-45e7-473d-8beb-cc7ee0b4e61d.rds,1
230,483676891,1
231,https://datasets.cellxgene.cziscience.com/1481a6e2-9103-4287-8344-fabc287b7f49.h5ad,1
232,520519337,1
233,https://datasets.cellxgene.cziscience.com/1481a6e2-9103-4287-8344-fabc287b7f49.rds,1
234,467764304,1
235,https://datasets.cellxgene.cziscience.com/5cd9d656-cbed-470c-8f53-85214aaa3f16.h5ad,1
236,541557965,1
237,https://datasets.cellxgene.cziscience.com/5cd9d656-cbed-470c-8f53-85214aaa3f16.rds,1
238,85669928,1
239,https://datasets.cellxgene.cziscience.com/7ffde3b8-971a-4d0b-a4d6-9056a47dc052.h5ad,1
240,81640116,1
241,https://datasets.cellxgene.cziscience.com/7ffde3b8-971a-4d0b-a4d6-9056a47dc052.rds,1
242,1187889916,1
243,https://datasets.cellxgene.cziscience.com/2c2938d0-b4a3-4c1b-98c8-4fe19d0d569c.h5ad,1
244,1434868617,1
245,https://datasets.cellxgene.cziscience.com/2c2938d0-b4a3-4c1b-98c8-4fe19d0d569c.rds,1
246,139886344,1
247,https://datasets.cellxgene.cziscience.com/5e31e4bf-f140-49df-936d-190801a31dcb.h5ad,1
248,131711043,1
249,https://datasets.cellxgene.cziscience.com/5e31e4bf-f140-49df-936d-190801a31dcb.rds,1
250,242774521,1
251,https://datasets.cellxgene.cziscience.com/0cfc9ba4-b520-4bf3-8a1d-5cc0d9eae617.h5ad,1
252,306890597,1
253,https://datasets.cellxgene.cziscience.com/0cfc9ba4-b520-4bf3-8a1d-5cc0d9eae617.rds,1
254,123610973,1
255,https://datasets.cellxgene.cziscience.com/a3c71831-f474-477d-87ed-3a0b683ac934.h5ad,1
256,127006579,1
257,https://datasets.cellxgene.cziscience.com/a3c71831-f474-477d-87ed-3a0b683ac934.rds,1
258,220887916,1
259,https://datasets.cellxgene.cziscience.com/40aeca29-8a10-4946-a365-1b3656639fcb.h5ad,1
260,290341731,1
