,tissue_ontology_term_id,organism_ontology_term_id,tissue_original_ontology_term_id,dataset_id,disease_ontology_term_id,self_reported_ethnicity_ontology_term_id,sex_ontology_term_id,publication_citation,gene_ontology_term_id,cell_type_ontology_term_id,n_cells_cell_type,n_cells_tissue,n,me,pc,tpc,tissue_name,organism_name,gene_name,cell_type_name,disease_name,self_reported_ethnicity_name,sex_name,tissue_original_name
0,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000003,12510,290857,1555,1.9886404742765273,0.12430055955235811,0.0053462698164390065,nose,Homo sapiens,,native cell,chronic rhinitis,,female,nose
1,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000066,4793,290857,760,2.032971030787418,0.15856457333611518,0.0026129678845618295,nose,Homo sapiens,,epithelial cell,chronic rhinitis,,female,nose
2,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000071,335,290857,20,1.9592096328735351,0.05970149253731343,6.876231275162709e-05,nose,Homo sapiens,,blood vessel endothelial cell,chronic rhinitis,,female,nose
3,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000097,105,290857,4,2.393604278564453,0.0380952380952381,1.3752462550325417e-05,nose,Homo sapiens,,mast cell,chronic rhinitis,,female,nose
4,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000145,215,290857,2,1.4949164390563965,0.009302325581395349,6.876231275162709e-06,nose,Homo sapiens,,professional antigen presenting cell,chronic rhinitis,,female,nose
5,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000150,435,290857,109,2.0285872713141484,0.25057471264367814,0.0003747546044963676,nose,Homo sapiens,,glandular epithelial cell,chronic rhinitis,,female,nose
6,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000151,1997,290857,340,1.9406932157628676,0.1702553830746119,0.0011689593167776605,nose,Homo sapiens,,secretory cell,chronic rhinitis,,female,nose
7,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000158,595,290857,109,1.939187426085866,0.18319327731092436,0.0003747546044963676,nose,Homo sapiens,,club cell,chronic rhinitis,,female,nose
8,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000313,753,290857,96,1.852439562479655,0.12749003984063745,0.00033005910120781004,nose,Homo sapiens,,serous secreting cell,chronic rhinitis,,female,nose
9,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000319,511,290857,122,2.0069194856237194,0.23874755381604695,0.0004194501077849252,nose,Homo sapiens,,mucus secreting cell,chronic rhinitis,,female,nose
10,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000622,33,290857,9,1.8012714385986328,0.2727272727272727,3.094304073823219e-05,nose,Homo sapiens,,acinar cell,chronic rhinitis,,female,nose
11,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000738,1535,290857,17,1.8796382230870865,0.011074918566775244,5.8447965838883024e-05,nose,Homo sapiens,,leukocyte,chronic rhinitis,,female,nose
12,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000766,320,290857,6,2.094041665395101,0.01875,2.0628693825488128e-05,nose,Homo sapiens,,myeloid leukocyte,chronic rhinitis,,female,nose
13,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000786,1215,290857,11,1.7626908042214133,0.00905349794238683,3.78192720133949e-05,nose,Homo sapiens,,plasma cell,chronic rhinitis,,female,nose
14,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0000842,1406,290857,12,1.7460083961486816,0.008534850640113799,4.1257387650976255e-05,nose,Homo sapiens,,mononuclear cell,chronic rhinitis,,female,nose
15,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002075,5,290857,3,1.9309619267781575,0.6,1.0314346912744064e-05,nose,Homo sapiens,,brush cell of trachebronchial tree,chronic rhinitis,,female,nose
